index,sample_index,filename,source_text,target_text,input_noise_standard_deviation,input_noise_seed,gaussian_noise_scale,masking_proportion,guidance_scale,glyph_noise_seed,glyph_mask_seed,generation_seed,ocr_predicted_text,ACC,NED,CER,input_path,output_path
13,13,07514.png,video,p6uvu,9.650125384576352,3016,0.0,0.0,1.0,100055,200055,300055,pauvu,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0013_07514.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0013.png
14,14,41939.png,copra,1a7j8,9.088794867233933,3017,0.0,0.0,1.0,100056,200056,300056,lajjo,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0014_41939.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0014.png
15,15,27348.png,lexon,fanc3,2.594663399907259,3018,0.0,0.0,1.0,100057,200057,300057,farcn,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0015_27348.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0015.png
16,16,46198.png,frank,v503y,10.805770278213735,3019,0.0,0.0,1.0,100058,200058,300058,roy,0.0,0.19999999999999996,0.8,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0016_46198.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0016.png
17,17,24760.png,smirk,rxb4h,5.57859864622962,3020,0.0,0.0,1.0,100059,200059,300059,rxbrh,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0017_24760.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0017.png
18,18,34099.png,thawy,sojxw,9.292901789433703,3021,0.0,0.0,1.0,100060,200060,300060,sbsuvv,0.0,0.16666666666666663,1.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0018_34099.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0018.png
19,19,17709.png,bohea,siooh,6.675333247024196,3022,0.0,0.0,1.0,100061,200061,300061,siooh,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0019_17709.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0019.png
20,20,12545.png,froth,xtn0p,11.401383145153838,3023,0.0,0.0,1.0,100062,200062,300062,xtnop,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0020_12545.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0020.png
21,21,42061.png,Multi,lkzp4,2.1044606276187987,3024,0.0,0.0,1.0,100063,200063,300063,1kzpi,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0021_42061.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0021.png
22,22,28364.png,Witty,p3wjx,9.39050488077302,3025,0.0,0.0,1.0,100064,200064,300064,pwwy,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0022_28364.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0022.png
23,23,10648.png,colic,uoamk,10.610012131397497,3026,0.0,0.0,1.0,100065,200065,300065,uooink,0.0,0.5,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0023_10648.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0023.png
24,24,41038.png,Idyll,kwawy,2.4501891971464476,3027,0.0,0.0,1.0,100066,200066,300066,kwawy,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0024_41038.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0024.png
25,25,43007.png,mains,5lxy9,10.051074535682353,3028,0.0,0.0,1.0,100067,200067,300067,sixyc,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0025_43007.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0025.png
26,26,03125.png,thing,jec5u,11.3833408119417,3029,0.0,0.0,1.0,100068,200068,300068,jecou,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0026_03125.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0026.png
27,27,02009.png,works,n3b1r,7.42758327038832,3030,0.0,0.0,1.0,100069,200069,300069,nobir,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0027_02009.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0027.png
28,28,11868.png,lobar,ajtti,9.051829196169319,3031,0.0,0.0,1.0,100070,200070,300070,agar,0.0,0.19999999999999996,0.8,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0028_11868.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0028.png
29,29,47964.png,allyl,xunrs,3.3754354515597766,3032,0.0,0.0,1.0,100071,200071,300071,xunr,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0029_47964.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0029.png
30,30,24051.png,chise,8rc3k,4.156712222064414,3033,0.0,0.0,1.0,100072,200072,300072,rrokk,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0030_24051.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0030.png
31,31,19612.png,flict,ze0a5,7.650956648185359,3034,0.0,0.0,1.0,100073,200073,300073,zeaas,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0031_19612.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0031.png
32,32,41118.png,oxter,bldpf,2.251488411069799,3035,0.0,0.0,1.0,100074,200074,300074,bldpf,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0032_41118.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0032.png
33,33,02358.png,wired,wfqki,8.219652134680675,3036,0.0,0.0,1.0,100075,200075,300075,wtqki,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0033_02358.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0033.png
34,34,20949.png,doven,wb2mx,7.689124531715429,3037,0.0,0.0,1.0,100076,200076,300076,vioznix,0.0,0.1428571428571429,1.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0034_20949.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0034.png
35,35,22476.png,edion,6tapr,4.9913518673210735,3038,0.0,0.0,1.0,100077,200077,300077,etapr,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0035_22476.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0035.png
36,36,00629.png,gated,rdjlc,7.265536461369086,3039,0.0,0.0,1.0,100078,200078,300078,djjlc,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0036_00629.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0036.png
37,37,11519.png,Keyed,okah3,3.177378729040748,3040,0.0,0.0,1.0,100079,200079,300079,okahp,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0037_11519.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0037.png
38,38,09508.png,passe,0or7f,8.50024243618734,3041,0.0,0.0,1.0,100080,200080,300080,dorzf,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0038_09508.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0038.png
39,39,16118.png,asway,faj3x,8.946722943943175,3042,0.0,0.0,1.0,100081,200081,300081,fajoy,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0039_16118.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0039.png
40,40,34188.png,scove,izdim,8.319127339241941,3043,0.0,0.0,1.0,100082,200082,300082,izdim,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0040_34188.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0040.png
41,41,12720.png,ranid,jphfz,10.613449097276018,3044,0.0,0.0,1.0,100083,200083,300083,jphfz,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0041_12720.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0041.png
42,42,44115.png,males,47wke,6.502801920176993,3045,0.0,0.0,1.0,100084,200084,300084,zfwke,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0042_44115.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0042.png
43,43,37472.png,toile,sd00d,3.17530122014023,3046,0.0,0.0,1.0,100085,200085,300085,sdood,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0043_37472.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0043.png
44,44,21926.png,actic,0h21y,3.437590727788496,3047,0.0,0.0,1.0,100086,200086,300086,ohzly,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0044_21926.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0044.png
45,45,06288.png,holon,u65ie,5.2621649689389365,3048,0.0,0.0,1.0,100087,200087,300087,jussie,0.0,0.5,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0045_06288.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0045.png
46,46,44947.png,pricy,uumly,10.784218379955963,3049,0.0,0.0,1.0,100088,200088,300088,lirmly,0.0,0.5,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0046_44947.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0046.png
47,47,07154.png,cashe,cmk1x,2.254365678670303,3050,0.0,0.0,1.0,100089,200089,300089,enees,0.0,0.0,1.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0047_07154.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0047.png
48,48,40980.png,legio,gojck,9.644806018902699,3051,0.0,0.0,1.0,100090,200090,300090,jogel,0.0,0.19999999999999996,0.8,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0048_40980.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0048.png
49,49,23904.png,DUHAT,62w7g,2.1201717168656002,3052,0.0,0.0,1.0,100091,200091,300091,ozwzq,0.0,0.19999999999999996,0.8,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0049_23904.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0049.png
50,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.0,0.0,2.0,100042,200042,300042,aaculng,0.0,0.2857142857142857,1.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0000.png
51,1,09864.png,manit,sahr6,9.288307491545766,3004,0.0,0.0,2.0,100043,200043,300043,sahro,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0001_09864.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0001.png
52,2,05542.png,ruine,tedvx,8.707976256871737,3005,0.0,0.0,2.0,100044,200044,300044,tedux,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0002_05542.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0002.png
53,3,30959.png,diddy,wb4al,7.694703836711488,3006,0.0,0.0,2.0,100045,200045,300045,wbial,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0003_30959.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0003.png
54,4,37280.png,bagon,zx67z,10.905270975252217,3007,0.0,0.0,2.0,100046,200046,300046,zxozz,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0004_37280.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0004.png
55,5,04843.png,Gumme,c28aq,11.068709741097946,3008,0.0,0.0,2.0,100047,200047,300047,equaq,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0005_04843.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0005.png
56,6,06577.png,crawl,w93bu,2.5440715215792324,3009,0.0,0.0,2.0,100048,200048,300048,wesbu,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0006_06577.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0006.png
57,7,25609.png,tared,qyw2c,11.32649138237307,3010,0.0,0.0,2.0,100049,200049,300049,qywzc,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0007_25609.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0007.png
58,8,25813.png,scarp,hsy04,2.55652060007871,3011,0.0,0.0,2.0,100050,200050,300050,hsyor,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0008_25813.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0008.png
59,9,44196.png,LINUX,1f6im,4.473118207168584,3012,0.0,0.0,2.0,100051,200051,300051,looi,0.0,0.19999999999999996,0.8,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0009_44196.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0009.png
60,10,23074.png,fears,l8d7s,7.323542951159396,3013,0.0,0.0,2.0,100052,200052,300052,ledzs,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0010_23074.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0010.png
61,11,16799.png,tudor,jlo9v,11.087793837904204,3014,0.0,0.0,2.0,100053,200053,300053,jloov,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0011_16799.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0011.png
62,12,36368.png,rindy,rboce,2.096288107318485,3015,0.0,0.0,2.0,100054,200054,300054,rboce,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0012_36368.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0012.png
63,13,07514.png,video,p6uvu,9.650125384576352,3016,0.0,0.0,2.0,100055,200055,300055,pppduvuuu,0.0,0.4444444444444444,1.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0013_07514.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0013.png
64,14,41939.png,copra,1a7j8,9.088794867233933,3017,0.0,0.0,2.0,100056,200056,300056,jaljp,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0014_41939.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0014.png
65,15,27348.png,lexon,fanc3,2.594663399907259,3018,0.0,0.0,2.0,100057,200057,300057,fancs,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0015_27348.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0015.png
66,16,46198.png,frank,v503y,10.805770278213735,3019,0.0,0.0,2.0,100058,200058,300058,v3oy,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0016_46198.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0016.png
67,17,24760.png,smirk,rxb4h,5.57859864622962,3020,0.0,0.0,2.0,100059,200059,300059,rxbah,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0017_24760.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0017.png
68,18,34099.png,thawy,sojxw,9.292901789433703,3021,0.0,0.0,2.0,100060,200060,300060,sojxum,0.0,0.6666666666666667,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0018_34099.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0018.png
69,19,17709.png,bohea,siooh,6.675333247024196,3022,0.0,0.0,2.0,100061,200061,300061,siooh,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0019_17709.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0019.png
70,20,12545.png,froth,xtn0p,11.401383145153838,3023,0.0,0.0,2.0,100062,200062,300062,xtnop,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0020_12545.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0020.png
71,21,42061.png,Multi,lkzp4,2.1044606276187987,3024,0.0,0.0,2.0,100063,200063,300063,lkzpz,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0021_42061.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0021.png
72,22,28364.png,Witty,p3wjx,9.39050488077302,3025,0.0,0.0,2.0,100064,200064,300064,pswij,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0022_28364.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0022.png
73,23,10648.png,colic,uoamk,10.610012131397497,3026,0.0,0.0,2.0,100065,200065,300065,uoarnk,0.0,0.6666666666666667,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0023_10648.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0023.png
74,24,41038.png,Idyll,kwawy,2.4501891971464476,3027,0.0,0.0,2.0,100066,200066,300066,kwawy,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0024_41038.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0024.png
75,25,43007.png,mains,5lxy9,10.051074535682353,3028,0.0,0.0,2.0,100067,200067,300067,sixyo,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0025_43007.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0025.png
76,26,03125.png,thing,jec5u,11.3833408119417,3029,0.0,0.0,2.0,100068,200068,300068,jecjiu,0.0,0.6666666666666667,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0026_03125.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0026.png
77,27,02009.png,works,n3b1r,7.42758327038832,3030,0.0,0.0,2.0,100069,200069,300069,nsbir,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0027_02009.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0027.png
78,28,11868.png,lobar,ajtti,9.051829196169319,3031,0.0,0.0,2.0,100070,200070,300070,ajtti,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0028_11868.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0028.png
79,29,47964.png,allyl,xunrs,3.3754354515597766,3032,0.0,0.0,2.0,100071,200071,300071,xunrs,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0029_47964.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-2p0/0029.png
